,date,pm25
754,2018-04-18,60.0
755,2018-04-19,52.0
756,2018-04-20,44.0
757,2018-04-21,55.0
758,2018-04-22,53.0
759,2018-04-23,21.0
760,2018-04-24,17.0
761,2018-04-25,26.0
762,2018-04-26,23.0
763,2018-04-27,24.0
764,2018-04-28,28.0
765,2018-04-29,29.0
766,2018-04-30,38.0
767,2018-05-01,37.0
768,2018-05-02,18.0
769,2018-05-03,31.0
770,2018-05-04,37.0
771,2018-05-05,37.0
772,2018-05-06,35.0
773,2018-05-07,41.0
774,2018-05-08,44.0
775,2018-05-09,46.0
776,2018-05-10,29.0
777,2018-05-11,33.0
778,2018-05-12,48.0
779,2018-05-13,49.0
780,2018-05-14,50.0
781,2018-05-15,56.0
782,2018-05-16,66.0
783,2018-05-17,62.0
784,2018-05-18,54.0
785,2018-05-19,28.0
786,2018-05-20,22.0
787,2018-05-21,20.0
788,2018-05-22,37.0
789,2018-05-23,41.0
790,2018-05-24,40.0
791,2018-05-25,26.0
792,2018-05-26,25.0
793,2018-05-27,36.0
794,2018-05-28,33.0
795,2018-05-29,25.0
796,2018-05-30,41.0
797,2018-05-31,47.0
798,2018-06-01,27.0
799,2018-06-02,27.0
800,2018-06-06,13.0
801,2018-06-07,13.0
802,2018-06-08,24.0
803,2018-06-09,21.0
804,2018-06-10,15.0
805,2018-06-11,26.0
806,2018-06-12,40.0
807,2018-06-13,30.0
808,2018-06-14,16.0
809,2018-06-15,20.0
810,2018-06-16,34.0
811,2018-06-17,28.0
812,2018-06-18,31.0
813,2018-06-19,29.0
814,2018-06-20,28.0
815,2018-06-21,24.0
816,2018-06-22,21.0
817,2018-06-23,13.0
818,2018-06-24,9.0
819,2018-06-25,12.0
820,2018-06-26,12.0
821,2018-06-27,20.0
822,2018-06-28,25.0
823,2018-06-29,26.0
824,2018-06-30,16.0
825,2018-07-01,11.0
826,2018-01-02,24.0
827,2018-01-03,9.0
828,2018-01-04,14.0
829,2018-01-05,24.0
830,2018-01-06,15.0
831,2018-01-07,14.0
832,2018-01-08,17.0
833,2018-01-09,24.0
834,2018-01-10,16.0
835,2018-01-11,38.0
836,2018-01-12,15.0
837,2018-01-13,18.0
838,2018-01-14,25.0
839,2018-01-15,27.0
840,2018-01-16,45.0
841,2018-01-17,50.0
842,2018-01-18,39.0
843,2018-01-19,58.0
844,2018-01-20,45.0
845,2018-01-21,38.0
846,2018-01-22,58.0
847,2018-01-23,37.0
848,2018-01-24,32.0
849,2018-01-25,32.0
850,2018-01-26,13.0
851,2018-01-27,23.0
852,2018-01-28,18.0
853,2018-01-29,17.0
854,2018-01-30,21.0
855,2018-01-31,18.0
856,2018-02-01,16.0
857,2018-02-02,14.0
858,2018-02-03,21.0
859,2018-02-04,22.0
860,2018-02-05,25.0
861,2018-02-06,21.0
862,2018-02-07,25.0
863,2018-02-08,31.0
864,2018-02-09,40.0
865,2018-02-10,22.0
866,2018-02-11,36.0
867,2018-02-12,25.0
868,2018-02-13,50.0
869,2018-02-14,9.0
870,2018-02-15,15.0
871,2018-02-16,33.0
872,2018-02-17,45.0
873,2018-02-18,50.0
874,2018-02-19,50.0
875,2018-02-20,48.0
876,2018-02-21,45.0
877,2018-02-22,35.0
878,2018-02-23,38.0
879,2018-02-24,37.0
880,2018-02-25,25.0
881,2018-02-26,23.0
882,2018-02-27,16.0
883,2018-02-28,18.0
884,2018-03-01,20.0
885,2018-03-02,24.0
886,2018-03-03,20.0
887,2018-03-04,24.0
888,2018-03-05,32.0
889,2018-03-06,34.0
890,2018-03-07,49.0
891,2018-03-08,55.0
892,2018-03-09,51.0
893,2018-03-10,62.0
894,2018-03-11,63.0
895,2018-03-12,50.0
896,2018-03-13,53.0
897,2018-03-14,57.0
898,2018-03-15,27.0
899,2018-03-16,36.0
900,2018-03-17,44.0
901,2018-03-18,53.0
902,2018-03-19,54.0
903,2018-03-20,43.0
904,2018-03-21,32.0
905,2018-03-22,52.0
906,2018-03-23,28.0
907,2018-03-24,36.0
908,2018-03-25,30.0
909,2018-03-26,40.0
910,2018-03-27,28.0
911,2018-03-28,43.0
