date, pm25, pm10, no2
2018/5/8, 44, 55, 30
2018/5/9, 46, 37, 9
2018/5/10, 29, 32, 7
2018/5/11, 33, 40, 7
2018/5/12, 48, 41, 4
2018/5/13, 49, 42, 20
2018/5/14, 50, 70, 34
2018/5/15, 56, 76, 40
2018/5/16, 66, 75, 51
2018/5/17, 62, 70, 16
2018/5/18, 54, 51, 16
2018/5/19, 28, 36, 20
2018/5/20, 22, 29, 13
2018/5/21, 20, 44, 27
2018/5/22, 37, 44, 25
2018/5/23, 41, 51, 26
2018/5/24, 40, 43, 26
2018/5/25, 26, 37, 21
2018/5/26, 25, 34, 25
2018/5/27, 36, 32, 16
2018/5/28, 33, 36, 19
2018/5/29, 25, 45, 38
2018/5/30, 41, 45, 23
2018/5/31, 47, 34, 17
2018/6/1, 27, 35, 26
2018/6/2, 27, , 
2018/6/6, 13, 20, 13
2018/6/7, 13, 30, 20
2018/6/8, 24, 30, 19
2018/6/9, 21, 18, 13
2018/6/10, 15, 22, 17
2018/6/11, 26, 25, 27
2018/6/12, 40, 22, 17
2018/6/13, 30, 16, 12
2018/6/14, 16, 15, 8
2018/6/15, 20, 23, 21
2018/6/16, 34, 21, 12
2018/6/17, 28, 17, 9
2018/6/18, 31, 20, 19
2018/6/19, 29, 25, 14
2018/6/20, 28, 22, 19
2018/6/21, 24, 13, 23
2018/6/22, 21, 10, 7
2018/6/23, 13, 9, 8
2018/6/24, 9, 9, 8
2018/6/25, 12, 15, 14
2018/6/26, 12, 23, 21
2018/6/27, 20, 21, 22
2018/6/28, 25, 26, 25
2018/6/29, 26, 19, 10
2018/6/30, 16, 10, 9
2018/7/1, 11, 8, 8
2018/1/2, 24, 3, 11
2018/1/3, 9, 5, 9
2018/1/4, 14, 8, 10
2018/1/5, 24, 5, 13
2018/1/6, 15, 6, 8
2018/1/7, 14, 33, 7
2018/1/8, 17, 33, 15
2018/1/9, 24, 4, 14
2018/1/10, 16, 14, 17
2018/1/11, 38, 4, 15
2018/1/12, 15, 7, 12
2018/1/13, 18, 32, 7
2018/1/14, 25, 32, 6
2018/1/15, 27, 31, 7
2018/1/16, 45, 20, 5
2018/1/17, 50, 13, 10
2018/1/18, 39, 21, 15
2018/1/19, 58, 15, 21
2018/1/20, 45, 12, 17
2018/1/21, 38, 21, 30
2018/1/22, 58, 11, 21
2018/1/23, 37, 11, 17
2018/1/24, 32, 11, 10
2018/1/25, 32, 6, 6
2018/1/26, 13, 9, 17
2018/1/27, 23, 5, 10
2018/1/28, 18, 8, 11
2018/1/29, 17, 7, 10
2018/1/30, 21, 6, 17
2018/1/31, 18, 6, 11
2018/2/1, 16, 11, 15
2018/2/2, 14, 7, 16
2018/2/3, 21, 7, 7
2018/2/4, 22, 8, 11
2018/2/5, 25, 10, 21
2018/2/6, 21, 9, 20
2018/2/7, 25, 12, 16
2018/2/8, 31, 14, 24
2018/2/9, 40, 11, 21
2018/2/10, 22, 14, 20
2018/2/11, 36, 7, 8
2018/2/12, 25, 15, 5
2018/2/13, 50, 3, 7
2018/2/14, 9, 5, 18
2018/2/15, 15, 12, 17
2018/2/16, 33, 15, 10
