date, pm25, pm10, o3, no2, so2, co
1/13/2015,59,32,59,34, ,9
1/14/2015,71,27,43,27, ,7
1/15/2015,69,27,64,21, ,6
1/16/2015,57,33,40,18, ,6
1/17/2015,77,39,44,20, ,9
1/18/2015,90,30,46,11, ,5
1/19/2015,71,33,48,19, ,5
1/20/2015,77,37,45,26, ,7
1/21/2015,79,25,34,17, ,5
1/22/2015,47,12,10,11, ,3
1/23/2015,21,11,12,11, ,4
1/24/2015,27,14,21,13, ,5
1/25/2015,39,12,32,12, ,4
1/26/2015,33,14,25,20, ,6
1/27/2015,42,19,21,22, ,6
1/28/2015,42,20,23,24, ,7
1/29/2015,49,16,17,17, ,5
1/30/2015,37,10,7,12, ,5
1/31/2015,28,7,9,9, ,4
2/1/2015,15,12,18,7, ,4
2/2/2015,25,14,12,16, ,6
2/3/2015,29,24,39,19, ,6
2/4/2015,57,24,12,25, ,7
2/5/2015,65,13,6,19, ,7
2/6/2015,36,16,6,20, ,7
2/7/2015,32,20,25,15, ,6
2/8/2015,41,19,35,11, ,4
2/9/2015,52,21,31,18, ,6
2/10/2015,46,18,10,19, ,7
2/11/2015,50,29,14,18, ,6
2/12/2015,36,28,22,24, ,8
2/13/2015,55,39,18,28, ,9
2/14/2015,67,27,33,16, ,5
2/15/2015,53,17,17,12, ,6
2/16/2015,27,16,18,13, ,4
2/17/2015,35,15,17,13, ,5
2/18/2015,37,13,10,15, ,5
2/19/2015,22,14,14,14, ,5
2/20/2015,22,20,15,18, ,6
2/21/2015,33,28,35,15, ,6
2/22/2015,60,32,34,7, ,4
2/23/2015,56,34,30,19, ,5
2/24/2015,59,29,22,22, ,6
2/25/2015,48,25,13,27, ,8
2/26/2015,59,25,21,23, ,7
2/27/2015,48,33,23,27, ,9
2/28/2015,65,18,14,11, ,3
3/1/2015,23,23,15,6, ,2
3/2/2015,35,26,32,12, ,4
3/3/2015,39,27,35,16, ,4
3/4/2015,59,29,34,19, ,5
3/5/2015,65,32,29,26, ,7
3/6/2015,76,33,24,28, ,8
3/7/2015,86,32,11,20, ,6
3/8/2015,60,13,11,16, ,6
3/9/2015,46,14,6,19, ,7
3/10/2015,31,16,10,17, ,7
3/11/2015,38,18,10,17, ,8
3/12/2015,46,26,8,22, ,10
3/13/2015,62,20,10,22, ,8
3/14/2015,54,25,18,22, ,9
3/15/2015,68,17,13,19, ,7
3/16/2015,59,21,16,21, ,7
3/17/2015,56,21,18,21, ,5
3/18/2015, ,20,10,19, ,5
3/19/2015, ,15,13,18, ,5
3/20/2015,123,22,15,22, ,7
3/21/2015,49,17,8,18, ,5
3/22/2015,55,9,12,9, ,3
3/23/2015,44,15,14,10, ,2
3/24/2015,53,14,18,12, ,2
3/25/2015,50,20,21,14, ,3
3/26/2015,65,28,17,23, ,5
3/27/2015,65,35,60,28, ,7
3/28/2015,71,34,16,22, ,4
3/29/2015,73,20, ,12, ,3
3/30/2015,61,16,1,15, ,5
3/31/2015,55,18,11,16, ,5
4/1/2015,52,22,45,18, ,4
4/2/2015,66,26,28,12, ,3
4/3/2015,50,16,31,8, ,2
4/4/2015,63,21,31,10, ,2
4/5/2015,60,19,18,11, ,5
4/6/2015,64,12,12,10, ,3
4/7/2015,50,15,10,10, ,2
4/8/2015,48,19,13,13, ,3
4/9/2015,60,27,25,17, ,3
4/10/2015,73,23,20,16, ,3
4/11/2015,55,22,29,14, ,3
4/12/2015,50,32,38,16, ,6
4/13/2015,90,32,28,15, ,2
4/14/2015,72,27,25,18, ,3
4/15/2015,64,29,15,24, ,5
4/16/2015,75,23,10,18, ,6
4/17/2015,74,32,23,16, ,3
4/18/2015,63,24,21,18, ,3
4/19/2015,55,28,35,17, ,4
4/20/2015,69,23,21,20, ,6
4/21/2015,66,18,14,14, ,5
4/22/2015,59,10,8,13, ,6
4/23/2015,27,11,10,15, ,4
4/24/2015,62,18,14,16, ,4
4/25/2015,63,14,13,9, ,1
4/26/2015,56,7,18,7, ,2
4/27/2015,53,16,20,13, ,1
4/28/2015,52,18,18,18, ,1
4/29/2015,57,18,13,13, ,3
4/30/2015,44,11,12,12, ,3
5/1/2015,38,16,23,10, ,3
5/2/2015,49,18,22,16, ,3
5/3/2015,67, , , , , 
5/5/2015, ,11,11,13, ,4
5/6/2015,48,17,11,15, ,5
5/7/2015,38,22,12,16, ,6
5/8/2015,60,12,15,12, ,3
5/9/2015,39,21,22,18, ,5
5/10/2015,56,24,9,19, ,9
5/11/2015,74,15,4,18, ,6
5/12/2015,66,14,8,16, ,5
5/13/2015,53,11,9,14, ,4
5/14/2015,29,14,8,15, ,4
5/15/2015,40,23,11,20, ,5
5/16/2015,53,21,20,17, ,5
5/17/2015,53,18,14,13, ,4
5/18/2015,58,26,9,20, ,6
5/19/2015,67,24,6,19, ,6
5/20/2015,53,26,13,20, ,5
5/21/2015,58,25,12,22, ,6
5/22/2015,58,24,4,24, ,6
5/23/2015,70,31,15,21, ,8
5/24/2015,62,21,20,15, ,6
5/25/2015,46,38,14,27, ,11
5/26/2015,70,25,19,21, ,6
5/27/2015,62,33,17,24, ,7
5/28/2015,56,27,3,21, ,6
5/29/2015,53,21,7,17, ,6
5/30/2015,37,28,11,19, ,9
5/31/2015,63,10,3,15, ,6
6/1/2015,47,13,4,13, ,5
6/2/2015,28,18,7,14, ,4
6/3/2015,42,23,10,20, ,7
6/4/2015,51,25,21,18, ,6
6/5/2015,61,41,10,23, ,13
6/6/2015,98,38,13,19, ,14
6/7/2015,88,26,10,16, ,12
6/8/2015,65,41,11,28, ,18
6/9/2015,87,51,12,34, ,18
6/10/2015,109,51,10,34, ,17
6/11/2015,107,40,17,30, ,9
6/12/2015,81,16,5,19, ,6
6/13/2015,48,28,22,18, ,8
6/14/2015,44,31,21,13, ,10
6/15/2015,70,17,5,17, ,6
6/16/2015,47,18,10,13, ,4
6/17/2015,42,26,6,21, ,11
6/18/2015,63,39,13,19, ,14
6/19/2015,99,11,11,12, ,3
6/20/2015,21,9,16,9, ,3
6/21/2015,24,18,14,15, ,6
6/22/2015,50,37,10,23, ,13
6/23/2015,81,31,11,20, ,9
6/24/2015,83,12,13,10, ,3
6/25/2015,28,10,13,11, ,3
6/26/2015,27,13,14,13, ,4
6/27/2015,36,17,15,17, ,5
6/28/2015,43,22,16,16, ,6
6/29/2015,63,41,9,23, ,14
6/30/2015,98,33,12,22, ,10
7/1/2015,79,22,4,20, ,6
7/2/2015,56,26,8,19, ,6
7/3/2015,53,21,2,19, ,9
7/4/2015,59,16,6,14, ,5
7/5/2015,44,13,13,9, ,3
7/6/2015,40,23,8,17, ,5
7/7/2015,48,26,1,20, ,9
7/8/2015,66,30,5,16, ,9
7/9/2015,66,12,14,8, ,3
7/10/2015,27,25,11,19, ,10
7/11/2015,67,19,6,17, ,8
7/12/2015,53,24,15,15, ,12
7/13/2015,71,30,11,21, ,12
7/14/2015,66,30,15,24, ,10
7/15/2015,60,45,17,34, ,13
7/16/2015,101,35,17,24, ,6
7/17/2015,78,41,4,29, ,12
7/18/2015,81,43,19,25, ,13
7/19/2015,102,25,18,17, ,8
7/20/2015,66,33,12,21, ,11
7/21/2015,66,26,9,15, ,4
7/22/2015,53,14,12,13, ,3
7/23/2015,37,20,10,17, ,5
7/24/2015,50,27,16,18, ,5
7/25/2015,34,14,3,19, ,6
7/26/2015,56,13,18,13, ,4
7/27/2015,44,28,14,25, ,10
7/28/2015,64,39,19,33, ,10
7/29/2015,92,54,29,39, ,15
7/30/2015,119,44,18,36, ,12
7/31/2015,112,47,17,35, ,13
8/1/2015,98,52,30,34, ,19
8/2/2015,114,40,22,24, ,16
8/3/2015,99,43,14,27, ,15
8/4/2015,83,52,26,31, ,13
8/5/2015,111,43,17, , ,9
8/6/2015,72,48,18, , ,11
8/7/2015,93,56,19, , ,14
8/8/2015,104,47,33, , ,12
8/9/2015,107,33,28, , ,6
8/10/2015,86,31,16,50, ,5
8/11/2015,63,36,20,33, ,6
8/12/2015,71,46,24,35, ,10
8/13/2015,96,47,23,33, ,10
8/14/2015,90,49,20,32, ,11
8/15/2015,102,42,21,24, ,10
8/16/2015,81,24,31,14, ,3
8/17/2015,63,38,19,24, ,7
8/18/2015,75,47,11,25, ,8
8/19/2015,68,41,23,19, ,6
8/20/2015,77,16,14,11, ,3
8/21/2015,38,18,18,11, ,2
8/22/2015,44,23,26,19, ,5
8/23/2015,63,41,36,18, ,9
8/24/2015,92,11,10,15, ,4
8/25/2015,34,19,7,18, ,7
8/26/2015,48,32,18,22, ,7
8/27/2015,70,22,6,21, ,6
8/28/2015,58,26,15,31, ,9
8/29/2015,64,23,33,20, ,5
8/30/2015,55,33,35,22, ,12
8/31/2015,77,48,24,35, ,17
9/1/2015,99,46,21,24, ,13
9/2/2015,107,18,49,11, ,7
9/3/2015,45,27,22,14, ,4
9/4/2015,61,18,1, , ,2
9/5/2015,53,9,9, , ,1
9/6/2015,40,11,12, , ,7
9/7/2015,61,19,16, , ,5
9/8/2015,56,15,8, , ,8
9/9/2015,46,18,15, , ,6
9/10/2015,33,25,13, , ,6
9/11/2015,71,12,17, , ,5
9/12/2015,39,10,13, , ,2
9/13/2015,36,8,16, , ,2
9/14/2015,31,15,20, , ,3
9/15/2015,43,21,24, , ,8
9/16/2015,55,43,25,41, ,14
9/17/2015,73,46,34,43, ,18
9/18/2015,82,54,34,37, ,23
9/19/2015,107,37,38,27, ,14
9/20/2015,79,25,74,12, ,11
9/21/2015,61,32,39,25, ,13
9/22/2015,64,49,49,29, ,17
9/23/2015,109,44,42,35, ,16
9/24/2015,114,61,43,45, ,21
9/25/2015,127,62,22,45, ,24
9/26/2015,139,19,22,20, ,14
9/27/2015,61,13,36,11, ,12
9/28/2015,51,22,24,20, ,13
9/29/2015,54,25,22,19, ,13
9/30/2015,70,26,19,18, ,12
10/1/2015,64,21,26,12, ,10
