date, pm25, pm10, o3, no2, so2, co
2019/5/26, 98, 37, 64, 18, 10, 6
2019/5/27, 75, 43, 87, 23, 3, 7
2019/5/28, 77, 7, 84, 27, 10, 7
2019/5/29, 38, 54, 88, 22, 2, 8
2019/5/30, 92, 51, 77, 25, 2, 8
2019/5/31, 91, 35, 51, 22, 1, 7
2019/6/1, 63, 21, 30, 18, 2, 6
2019/6/2, 38, 14, 24, 11, 1, 5
2019/6/3, 30, 21, 21, 18, 3, 6
2019/6/4, 44, 20, 24, 26, 2, 9
2019/6/5, 48, 20, 34, 29, 2, 10
2019/6/6, 43, 22, 65, 32, 1, 10
2019/6/7, 58, 31, 56, 37, 2, 12
2019/6/8, 75, 38, 54, 26, 3, 11
2019/6/9, 76, 32, 64, 20, 1, 6
2019/6/10, 68, 38, 40, 21, 2, 6
2019/6/11, 70, 22, 40, 14, 1, 4
2019/6/12, 48, 27, 49, 27, 9, 7
2019/6/13, 55, 26, 37, 21, 3, 6
2019/6/14, 48, 23, 46, 24, 1, 6
2019/6/15, 46, 39, 76, 25, 7, 7
2019/6/16, 78, 36, 84, 22, 2, 7
2019/6/17, 76, 43, 65, 23, 6, 7
2019/6/18, 80, 34, 66, 23, 2, 7
2019/6/19, 67, 23, 54, 30, 9, 8
2019/6/20, 61, , 78, 32, 5, 9
2019/6/22, 84, 37, 61, 26, 4, 7
2019/6/23, 78, 34, 51, 23, 3, 8
2019/6/24, 68, 19, 26, 28, 2, 10
2019/6/25, 46, 24, 35, 27, 3, 8
2019/6/26, 48, 32, 44, 31, 4, 10
2019/6/27, 59, 27, 33, 18, 2, 6
2019/6/28, 42, 29, 39, 18, 3, 6
2019/6/29, 48, 18, 19, 13, 1, 4
2019/6/30, 27, , , , , 
2019/1/2, 143, 68, 44, 34, 18, 12
2019/1/3, 118, 57, 41, 49, 8, 16
2019/1/4, 93, 55, 59, 43, 6, 15
2019/1/5, 91, 67, 71, 45, 14, 12
2019/1/6, 118, 54, 63, 37, 10, 13
2019/1/7, 90, 64, 44, 43, 9, 16
2019/1/8, 103, 60, 46, 44, 6, 12
2019/1/9, 94, 53, 49, 33, 26, 11
2019/1/10, 88, 41, 49, 25, 4, 9
2019/1/11, 69, 46, 68, 35, 7, 12
2019/1/12, 78, 53, 50, 37, 17, 12
2019/1/13, 104, 32, 39, 20, 3, 9
2019/1/14, 75, 42, 28, 25, 15, 11
2019/1/15, 78, 50, 54, 31, 24, 12
2019/1/16, 95, 55, 61, 32, 18, 12
2019/1/17, 97, 52, 44, 35, 27, 12
2019/1/18, 93, 47, 36, 31, 17, 11
2019/1/19, 76, 46, 44, 36, 7, 10
2019/1/20, 68, 36, 42, 24, 19, 6
2019/1/21, 67, 48, 52, 42, 32, 10
2019/1/22, 81, 49, 47, 43, 4, 12
2019/1/23, 71, 37, 47, 37, 3, 11
2019/1/24, 50, 44, 31, 36, 4, 11
2019/1/25, 62, 37, 39, 32, 4, 11
2019/1/26, 54, 39, 36, 32, 4, 12
2019/1/27, 55, 22, 45, 20, 5, 5
2019/1/28, 45, 43, 51, 34, 5, 10
2019/1/29, 58, 41, 66, 34, 5, 10
2019/1/30, 71, 37, 42, 25, 2, 7
2019/1/31, 49, 40, 30, 39, 3, 12
2019/2/1, 61, 42, 47, 40, 3, 12
2019/2/2, 56, 56, 82, 40, 6, 12
2019/2/3, 84, 55, 80, 41, 6, 13
2019/2/4, 83, 53, 70, 41, 6, 11
2019/2/5, 86, 56, 72, 52, 7, 13
2019/2/6, 81, 61, 79, , 7, 17
2019/2/7, 90, 61, 58, , 7, 12
2019/2/8, 80, 47, 27, , 4, 8
2019/2/9, 66, 43, 45, , 12, 8
2019/2/10, 81, 42, 59, , 19, 8
2019/2/11, 68, 49, 66, , 5, 11
2019/2/12, 76, 57, 30, , 6, 9
2019/2/13, 78, 43, 41, , 19, 9
2019/2/14, 79, 47, 56, 33, 4, 12
2019/2/15, 91, 45, 68, 35, 4, 11
2019/2/16, 76, 47, 72, 29, 4, 10
2019/2/17, 68, 36, 51, 25, 3, 8
2019/2/18, 57, 41, 36, 28, 4, 9
2019/2/19, 64, 35, 31, 22, 3, 9
2019/2/20, 49, 31, 24, 19, 3, 9
2019/2/21, 48, 25, 22, 16, 3, 7
2019/2/22, 35, , , , , 
2019/2/25, 62, 36, 38, 27, 4, 8
2019/2/26, 67, 36, 37, 30, 4, 10
2019/2/27, 64, 36, 39, 31, 4, 9
2019/2/28, 51, 45, 56, 36, 5, 
2019/3/1, 71, 59, 4, 54, 6, 
2019/3/2, 84, , , , , 
2019/3/4, 75, 44, 44, 32, 7, 
2019/3/5, 68, 42, 27, 31, 6, 
2019/3/6, 66, 42, 52, 29, 13, 7
2019/3/7, 72, 49, 67, 40, 6, 9
2019/3/8, 83, 48, 58, 35, 4, 9
2019/3/9, 79, 47, 88, 30, 4, 6
2019/3/10, 85, 53, 82, 27, 7, 6
2019/3/11, 92, 56, 76, 35, 10, 8
2019/3/12, 91, 51, 46, 30, 10, 6
2019/3/13, 84, 50, 73, 32, 5, 8
2019/3/14, 76, 54, 74, 31, 5, 8
2019/3/15, 87, 57, 62, 26, 14, 6
2019/3/16, 92, 46, 44, 27, 12, 6
2019/3/17, 70, 49, 73, 29, 21, 6
2019/3/18, 92, 38, 41, 21, 18, 4
2019/3/19, 68, 42, 43, 27, 15, 7
2019/3/20, 72, 45, 59, 25, 24, 6
2019/3/21, 72, 46, 53, 28, 20, 6
2019/3/22, 84, 39, 44, 28, 8, 6
2019/3/23, 61, 38, 58, 24, 3, 6
2019/3/24, 65, 40, 82, 24, 5, 5
2019/3/25, 65, 40, 45, 27, 4, 6
2019/3/26, 57, 38, 44, 26, 4, 7
2019/3/27, 46, 40, 42, 24, 9, 5
2019/3/28, 61, 41, 51, 28, 22, 6
2019/3/29, 65, 54, 65, 41, 4, 10
2019/3/30, 85, 59, 96, 37, 4, 9
2019/3/31, 97, 55, 82, 25, 23, 6
2019/4/1, 102, 50, 61, 22, 3, 6
2018/10/2, 41, 23, 28, 18, 2, 5
2018/10/3, 37, 21, 26, 19, 1, 5
