date, pm25, pm10, o3, so2, co
11/29/2016,38, , , , 
11/30/2016,34, , , , 
12/1/2016,33, , , , 
12/2/2016,32, , , , 
12/3/2016,35, , , , 
12/4/2016,29, , , , 
12/5/2016,32, , , , 
12/6/2016,32, , , , 
12/7/2016,40, , , , 
12/8/2016,47, , , , 
12/9/2016,51, , , , 
12/10/2016,41, , , , 
12/11/2016,27, , , , 
12/12/2016,28, , , , 
12/13/2016,35, , , , 
12/14/2016,45, , , , 
12/15/2016,42, , , , 
12/16/2016,47, , , , 
12/17/2016,42, , , , 
12/18/2016,40, , , , 
12/19/2016,33, , , , 
12/20/2016,37, , , , 
12/21/2016,29, , , , 
12/22/2016,34, , , , 
12/23/2016,33, , , , 
12/24/2016,31, , , , 
12/25/2016,27, , , , 
12/26/2016,29, , , , 
12/27/2016,35, , , , 
12/28/2016,37, , , , 
12/29/2016,37, , , , 
12/30/2016,42, , , , 
12/31/2016,30, , , , 
1/1/2017,29, , , , 
1/2/2017,42, , , , 
1/3/2017,40, , , , 
1/4/2017,33, , , , 
1/5/2017,30, , , , 
1/6/2017,36, , , , 
1/7/2017,41, , , , 
1/8/2017,32, , , , 
1/9/2017,31, , , , 
1/10/2017,28, , , , 
1/11/2017,26, , , , 
1/12/2017,29, , , , 
1/13/2017,29, , , , 
1/14/2017,28, , , , 
1/15/2017,26, , , , 
1/16/2017,26, , , , 
1/17/2017,28, , , , 
1/18/2017,32, , , , 
1/19/2017,36, , , , 
1/20/2017,38, , , , 
1/21/2017,40, , , , 
1/22/2017,52, , , , 
1/23/2017,40, , , , 
1/24/2017,40, , , , 
1/25/2017,45, , , , 
1/26/2017,46, , , , 
1/31/2017,42, , , , 
2/1/2017,43, , , , 
2/2/2017,53, , , , 
5/10/2017,53, , , , 
5/11/2017,56, , , , 
5/12/2017,54, , , , 
9/27/2017,24, , , , 
9/28/2017,29, , , , 
9/29/2017,26, , , , 
9/30/2017,28, , , , 
10/1/2017,29, , , , 
10/2/2017,23, , , , 
10/3/2017,26, , , , 
10/4/2017,20, , , , 
10/5/2017,20, , , , 
10/6/2017,20, , , , 
10/7/2017,23, , , , 
10/8/2017,23, , , , 
10/9/2017,20, , , , 
10/10/2017,21, , , , 
10/11/2017,20, , , , 
10/12/2017,20, , , , 
10/13/2017,21, , , , 
10/14/2017,22, , , , 
10/15/2017,19, , , , 
10/16/2017,17, , , , 
10/17/2017,20, , , , 
10/18/2017,23, , , , 
10/19/2017,21, , , , 
10/20/2017,21, , , , 
10/21/2017,19, , , , 
10/22/2017,22, , , , 
10/23/2017,27, , , , 
10/24/2017,20, , , , 
10/25/2017,20, , , , 
10/26/2017,19, , , , 
10/27/2017,23, , , , 
10/28/2017,25, , , , 
10/29/2017,20, , , , 
10/30/2017,18, , , , 
10/31/2017,17, , , , 
11/1/2017,25, , , , 
11/2/2017,25, , , , 
11/3/2017,24, , , , 
11/4/2017,20, , , , 
11/5/2017,21, , , , 
11/6/2017,19, , , , 
11/7/2017,22, , , , 
11/8/2017,22, , , , 
11/9/2017,20, , , , 
11/10/2017,20, , , , 
11/11/2017,21, , , , 
11/12/2017,20, , , , 
11/13/2017,19, , , , 
11/14/2017,19, , , , 
11/15/2017,18, , , , 
11/16/2017,19, , , , 
11/17/2017,22, , , , 
11/18/2017,22, , , , 
11/19/2017,21, , , , 
11/20/2017,23, , , , 
11/21/2017,23, , , , 
11/22/2017,23, , , , 
11/23/2017,25, , , , 
11/30/2017,114, , , , 
12/1/2017,29, , , , 
12/2/2017,31, , , , 
12/4/2017,32, , , , 
12/5/2017,38, , , , 
12/6/2017,35, , , , 
12/7/2017,36, , , , 
12/8/2017,43, , , , 
12/9/2017,36, , , , 
12/10/2017,24, , , , 
12/11/2017,13, , , , 
12/12/2017,32, , , , 
12/13/2017,50, , , , 
12/14/2017,42, , , , 
